Column1,Customer ID,CustomerName,CustomerEmail,CustomerAddress,Store ID,StoreName,Birthdate
0,CU1,Rachel Rodriguez,crystal53@hotmail.com,"8335 Walker Street Suite 405, Christineside, South Africa",7,"Kilimanjaro Crafts, South Africa",25/03/2000
1,CU2,Jonathan Monroe,simonbrittney@gmail.com,"710 Gallegos Mountains, Kimton, Saudi Arabia",21,"Desert Dunes, Saudi Arabia",18/01/1983
2,CU3,Patricia Maldonado,sjackson@rogers.com,"2594 Newton Canyon, Joseborough, India",8,"Taj Treasures, India",05/02/1987
3,CU4,Christy Luna,davidmiller@klein-massey.com,"777 Michael Haven, East James, South Africa",7,"Kilimanjaro Crafts, South Africa",03/09/1971
4,CU5,Gabriel Ruiz,laura06@nicholson.com,"97993 Raymond Camp, South Michael, India",8,"Taj Treasures, India",07/10/1998
5,CU6,Sean Rodgers,barnettmichael@estes.com,"228 Becker Street, South Christopherberg, Thailand",18,"Spice Street, Thailand",18/10/1979
6,CU7,Jodi Salinas,jwilliams@hotmail.com,"64790 Brown Tunnel Suite 014, Lake Nicolaschester, Indonesia",17,"Batik Boutique, Indonesia",04/07/2001
7,CU8,Michelle Jones,amber80@yahoo.com,"9714 Linda Union Suite 002, East Danielle, China",9,"Panda Plaza, China",23/04/1987
8,CU9,Derek Flores,scarter@brown.com,"1630 Byrd Loaf Suite 905, Monicaberg, Argentina",14,"Tango Traders, Argentina",16/03/1971
9,CU10,Russell Harrington,eclark@yahoo.com,"5722 Peters Road Apt. 008, Snydertown, France",4,"Café de Paris, France",08/12/1989
10,CU11,William May,hallarthur@nelson-miranda.com,"05474 Rachel Courts, North Michaelville, Russia",13,"Moscow Market, Russia",18/05/1981
11,CU12,Patrick Garcia,georgehickman@jones.com,"28186 Linda Fall Apt. 751, Michaelshire, Germany",5,"Berlin Bazaar, Germany",03/10/1974
12,CU13,Aaron Perez,vlong@knight.info,"3681 Tammy Brook, Lake Amanda, France",4,"Café de Paris, France",11/07/1982
13,CU14,Amy Knapp,sjoseph@sullivan.info,"6332 Johnny Square Apt. 942, West Kenneth, Egypt",20,"Pharaoh's Finds, Egypt",06/08/1990
14,CU15,Erin Wade,kleinstephanie@lopez-burgess.info,"940 Hopkins Unions, Morganfort, Italy",10,"Pasta Palace, Italy",29/03/2001
15,CU16,Debbie Wilkins,crystal55@benson.com,"7742 Sally Plaza, North Micheleton, Colombia",6,"Rio Retailers, Colombia",04/07/1977
16,CU17,David Moore,lisa04@white.info,"016 Brandt Grove, Port Ericshire, Argentina",14,"Tango Traders, Argentina",14/01/1998
17,CU18,Jennifer Pearson,vlewis@armstrong.com,"39812 Guerrero Vista Suite 004, North Tracyhaven, Brazil",15,"Samba Store, Brazil",10/01/1979
18,CU19,Tyler Buchanan,noblebrent@hotmail.com,"8922 Brenda Canyon Suite 674, Port Nathaniel, Egypt",20,"Pharaoh's Finds, Egypt",01/10/1994
19,CU20,Daniel Butler,catherinecalhoun@williams.org,"649 Brian Island, East Justin, Thailand",18,"Spice Street, Thailand",04/11/1972
20,CU21,Sherry Turner,brennanregina@thompson-collins.com,"0769 Norton Plains Apt. 464, Port Juanfurt, Saudi Arabia",21,"Desert Dunes, Saudi Arabia",27/07/1980
21,CU22,Julie Obrien,floyddavid@gmail.com,"1197 Barbara Gardens Apt. 318, Wardmouth, India",8,"Taj Treasures, India",27/08/1970
22,CU23,Garrett Ortiz,jbarnes@holloway.com,"8245 Allen Well, Lake Shannon, Canada",22,"Perplexity Mall,Canada",08/12/2001
23,CU24,John Johnson,dorothy49@collins.biz,"24263 Scott Underpass, South Lindsay, United Kingdom",12,"Royal Retail, United Kingdom",15/10/1986
24,CU25,Dawn Webb,margaret91@yahoo.com,"568 Tina Lodge, North Jennifertown, Colombia",6,"Rio Retailers, Colombia",31/10/1986
25,CU26,Shelly Mcbride,yruiz@gmail.com,"05523 Luis Roads, Lake James, China",9,"Panda Plaza, China",20/04/1989
26,CU27,Rachel Mack,nproctor@yahoo.com,"813 Andrea Mill Suite 368, New Randy, United States",11,"Union Square Mart, United States",23/12/1983
27,CU28,Evan Vance,westcynthia@yahoo.com,"8492 Michael Light Apt. 788, New Janice, South Africa",7,"Kilimanjaro Crafts, South Africa",13/03/1979
28,CU29,Laura Cooper,lewisjulie@richardson-murphy.com,"10909 Sarah Point, Wallaceborough, Australia",3,"Outback Outfitters, Australia",02/12/1976
29,CU30,Virginia Gomez,michaelking@yahoo.com,"68236 Anna Heights Apt. 647, Kristamouth, Egypt",20,"Pharaoh's Finds, Egypt",17/07/1986
